,Symbol,CoinName,NetHashesPerSecond,BlockNumber,BlockTime,BlockReward_x,TotalCoinsMined,AssetLaunchDate,MaxSupply,Price.USD,CoinTag,Algorithm,Difficulty,BlockReward_y,BlockCount,ProfitRatio,AvgProfitRatio,Exchange,ExchangeRate,ExchangeVolume,IsBlockExplorerOnline,IsExchangeOnline,BlockTimeInSeconds,HealthStatus
0,BTC,Bitcoin,207280008734314230000,719705,506.0,6.25,18873906.0,2009-01-03,20999999.9769,40798.64,BTC,SHA-256,24371874614346.0,6.25,719678.0,100.0,100.0,CoinWarz,42735.4416,21390.69690779,True,True,600.0,Healthy
1,ETH,Ethereum,977422709818476.4,14045932,13.323235383217208,2.285691242917407,118350847.124,2015-07-30,-1.0,2998.37,ETH,EtHash,1.2544800587618452e+16,2.0,14044768.0,122.95145389890412,129.62854063742952,hitbtc,0.07483538,14548.838,True,True,15.0,Healthy
2,DOGE,Dogecoin,532399985262592,4070892,63.0,10000.0,132881416383.70522,2013-12-06,-1.0,0.1557,DOGE,Scrypt,4466168.8685246,10000.0,4070650.0,67.95517433476775,50.45188315762147,Bittrex,3.83e-06,5136060.35592462,True,True,60.0,Healthy
3,LTC,Litecoin,364238516146391,2196890,153.0,12.52204542,69459170.73347135,2011-10-13,84000000.0,128.99,LTC,Scrypt,12890495.93247,12.5,2196786.0,5.922614426477546,6.962509866840662,Bittrex,0.0032793,5244.37464362,True,True,150.0,Healthy
4,XMR,Monero,3266382349,2541724,116.0,0.738662327034,18066142.804678675,2014-04-18,-1.0,188.83,XMR,RandomX,389433667587.0,2.15,2541599.0,-5.327330805926889,-5.374551692624761,hitbtc,0.00475639,26129.856,True,True,120.0,Healthy
5,XRP,XRP,0,69150454,0.0,0.0,99989813031.0,2013-01-01,100000000000.0,0.7256,,,,,,,,,,,,,,
6,USDT,Tether,0,0,0.0,0.0,78274566150.5517,2014-10-06,-1.0,1.0,,,,,,,,,,,,,,
7,ADA,Cardano,0,6781798,0.0,0.0,32977170619.48807,2017-10-05,45000000000.0,1.264,,,,,,,,,,,,,,
8,XLM,Stellar,0,39273980,0.0,0.0,50001802300.83527,2014-07-31,-1.0,0.2327,,,,,,,,,,,,,,
9,BUSD,BUSD,0,0,0.0,0.0,14318821096.820002,2019-09-10,-1.0,0.9997,,,,,,,,,,,,,,
