,Symbol,Open,High,Low,Price,volume,Latest_Trading_day,Previous_close,Change,Change_percent
0,AAPL,166.9800,169.6800,164.1800,164.5100,85829574,2022-01-20,166.2300,-1.7200,-1.0347%
1,MSFT,309.0700,311.6494,301.1400,301.6000,34786422,2022-01-20,303.3300,-1.7300,-0.5703%
2,V,214.7200,219.6030,213.9400,214.3500,8430120,2022-01-20,214.6800,-0.3300,-0.1537%
3,AMJ,19.5900,19.8900,19.4300,19.4400,982945,2022-01-20,19.6600,-0.2200,-1.1190%
4,JNJ,167.2900,167.8590,164.9300,165.2500,5805587,2022-01-20,166.5800,-1.3300,-0.7984%
5,WMT,142.3500,144.4600,141.0700,141.2200,7448207,2022-01-20,143.9400,-2.7200,-1.8897%
6,UNH,464.3800,471.6300,462.0000,463.0000,3205281,2022-01-20,462.5200,0.4800,0.1038%
7,PG,160.1200,164.3300,160.1200,162.0000,10761989,2022-01-20,162.0000,0.0000,0.0000%
8,DIS,150.9050,152.6600,147.1500,147.6200,10195121,2022-01-20,150.1100,-2.4900,-1.6588%
9,HD,361.3300,361.8500,349.0200,349.5800,5313304,2022-01-20,359.6900,-10.1100,-2.8108%
